"GEOID","year","population","male","female","male_ratio","norm_age_0_19","norm_age_20_69","norm_age_70_plus","race_diversity","unemployment_rate","median_income","mean_income","PercFamiliesBelowPovertyline","HU_occupied_perc","rent_rate","HU_avg_HHsize_owner","HU_avg_HHsize_renter","YB_before_1979_pct","YB_1980_2019_pct","dummy_BY_thredhold50perc"
6037119400,2010,5356,2852,2504,53.2486930545183,32.1,62.9,4.9,58.1219696796457,2.7,72434,74177,10.1,99.2,16.1149825783972,4.41,6.19,88.7931034482759,11.2068965517241,0
6037113213,2010,4631,2176,2455,46.9876916432736,22.6,71.1,6.3,59.0287651015956,6.2,85582,96297,5.3,100,31.489111241907,2.63,2.77,77.4631268436578,22.5368731563422,0
6037296600,2010,5560,2650,2910,47.6618705035971,32.9,62.6,4.6,50.761101909839,3.4,35865,50446,22.9,91.8,65.5155402072028,2.97,3,84.2544316996872,15.7455683003128,0
6037261101,2010,3233,1656,1577,51.2217754407671,21,64,14.9,11.857517525587,4.6,212841,328332,2.3,85.9,5.50122249388753,2.37,1.32,91.0934105720492,8.90658942795076,0
6037920312,2010,5173,2770,2403,53.5472646433404,23.6,66.6,10,44.1734804303853,6.2,61250,96611,6.3,100,51.3343799058085,3.08,2.35,56.7348881485007,43.2651118514993,0
6037237300,2010,5217,2325,2892,44.5658424381829,31.4,57.5,10.9,43.1358401333809,9.6,32967,44149,21,91.8,41.8219461697723,3.18,2.65,94.679186228482,5.320813771518,0
6037227010,2010,4850,2205,2645,45.4639175257732,40.6,57.7,1.9,41.2381677117653,3.5,33088,46370,42.4,95.9,63.9344262295082,4.62,5.46,80.2304964539007,19.7695035460993,0
6037219300,2010,3882,1934,1948,49.8196805770222,28.1,61.8,9.9,62.9356989457943,6.4,27826,40147,31.4,92.7,71.1473183978276,3.03,2.78,92.6351351351351,7.36486486486486,0
6037204420,2010,4229,2065,2164,48.8295105225822,40.6,56,3.2,56.1105935600671,5.6,31799,43359,28.8,94.4,82.5496342737722,5,4.22,87.8177966101695,12.1822033898305,0
6037211320,2010,3704,1951,1753,52.6727861771058,21.8,76.6,1.6,71.7162346234763,6.9,26366,34968,28.4,96.1,87.0708546384222,4.9,2.49,87.3250388802488,12.6749611197512,0
6037262301,2010,3266,1170,2096,35.8236374770361,26.7,52.7,20.7,34.5684292394051,1.8,194621,264861,0,100,6.47181628392484,2.54,1.81,67.2875436554133,32.7124563445867,0
6037206300,2010,5988,4222,1766,70.5076820307281,3.2,92.2,4.6,57.7920202462373,10.2,8647,10563,0,87,85.7283464566929,NA,1.09,50.1456512692468,49.8543487307532,0
6037267501,2010,5705,3197,2508,56.0385626643295,15.8,78.7,5.6,64.5794446650654,3.3,62640,78485,13.7,93.9,79.3128925009235,1.88,2.31,57.5037147102526,42.4962852897474,0
6037218120,2010,4599,2391,2208,51.9895629484671,27,68,4.9,69.4696432537,6.5,33554,44346,18.7,95.2,74.8811948404616,3.96,3.09,93.5123042505593,6.48769574944072,0
6037209403,2010,3843,2034,1809,52.9274004683841,34.2,51.7,14.2,65.1419503571383,5.4,18867,24649,50.6,92.5,92.4585218702866,NA,2.99,63.8888888888889,36.1111111111111,0
6037208902,2010,2020,1353,667,66.980198019802,19.9,76.2,3.8,63.0069110871483,3.8,30256,38043,44.6,87.8,87.8444084278768,NA,3.58,63.4074074074074,36.5925925925926,0
6037212203,2010,2801,1377,1424,49.1610139235987,21.2,70.5,8.4,63.4712624310107,6,23765,30143,20.7,91.8,91.8492550394391,NA,2.67,83.3937635968093,16.6062364031907,0
6037194200,2010,3293,1900,1393,57.698147585788,11.7,78.1,10.2,18.4065823860144,6.1,122900,192891,8.5,87.1,19.9125789218067,1.78,2.02,87.448275862069,12.551724137931,0
6037189701,2010,3871,2081,1790,53.7587186773444,6.6,86.9,6.2,39.1821332256141,6.9,77420,104853,5.9,84.3,35.3011093502377,1.89,1.73,76.1462565293093,23.8537434706907,0
6037183620,2010,3619,1764,1855,48.742746615087,32.3,62.6,5.1,50.7608175542776,12.6,41121,52306,20.9,96.4,65.4309545875811,3.91,3.22,87.8695208970438,12.1304791029562,0
6037143800,2010,4698,2211,2487,47.0625798212005,16.5,71.8,11.6,18.3609104424027,5.3,108105,128379,1.7,92.4,39.9689561505627,2.28,1.57,81.6701461377871,18.3298538622129,0
6037139303,2010,4334,2079,2255,47.9695431472081,20.8,70.6,8.7,53.8294985251994,6.3,48869,57995,13.3,94.8,59.0325765054294,2.09,2.31,87.5760649087221,12.4239350912779,0
6037123410,2010,4021,2182,1839,54.2651081820443,29,61.8,9.2,58.6450480909075,5.8,44484,56120,11.8,95.9,64.7286821705426,3.39,3.08,82.4088748019017,17.5911251980983,0
6037120010,2010,2617,1423,1194,54.3752388230799,32.1,63.3,4.5,65.7729384412112,2,53311,62868,4.6,98.3,22.2067039106145,3.87,3.19,90.896921017403,9.10307898259705,0
6037117510,2010,4097,2098,1999,51.2082011227728,41.9,55.3,2.7,66.6341701891208,8,35952,45859,27.7,98.2,81.8904593639576,3.63,3.7,61.8801652892562,38.1198347107438,0
6037294810,2010,4424,2255,2169,50.9719710669078,43,54.4,2.7,47.9572625396898,10.9,33977,40211,32.4,95.1,77.4500475737393,5.37,4.21,88.2926829268293,11.7073170731707,0
6037242300,2010,4399,2279,2120,51.8072289156626,41.2,57,1.9,59.648256457054,4.9,36250,43452,29.6,89.1,62.2862286228623,6.15,3.71,67.1630094043887,32.8369905956113,0
6037980015,2010,647,396,251,61.2055641421947,49.9,50,0,59.8076008877019,0,29071,41999,89.1,100,100,NA,3.05,69.7674418604651,30.2325581395349,0
6037262601,2010,3670,1775,1895,48.3651226158038,25,65.5,9.6,11.8001173072782,3.4,181500,268212,2.6,93.6,9.77596741344195,2.74,1.97,55.2260934025204,44.7739065974796,0
6037185320,2010,3227,1816,1411,56.2751781840719,30.2,60.4,9.3,57.43979778613,6,44253,52240,13.2,97.1,54.389721627409,3.76,3.4,96.0233918128655,3.9766081871345,0
6037800506,2010,2967,1556,1411,52.443545669026,20.1,64,15.9,26.2112310803628,3.3,126172,196926,8.5,84.6,15.5711550733886,2.39,1.57,78.6127167630058,21.3872832369942,0
6037186401,2010,4028,2061,1967,51.1668321747766,37.5,56.9,5.4,57.9167771971571,11.6,33382,47913,20.9,93.3,78.6121673003802,4.99,3.93,74.9748743718593,25.0251256281407,0
6037197200,2010,3708,1774,1934,47.8425026968716,19.6,70.8,9.5,67.9522191151468,7.9,43205,48491,18.4,92,51.9502074688797,3.41,3.27,95.7178841309824,4.28211586901763,0
6037197300,2010,3697,2000,1697,54.0979172301866,21.9,73.5,4.5,64.892112554397,7.2,45997,64138,9.7,92.2,67.1764063353359,2.51,2.07,89.2816419612315,10.7183580387685,0
6037197410,2010,3697,1899,1798,51.3659724100622,19.7,72.2,8.1,49.380965156888,9.9,51493,75826,9.7,92.7,49.9718309859155,2.18,2.3,84.1121495327103,15.8878504672897,0
6037197420,2010,3789,1914,1875,50.5146476642914,22,74.8,3.1,60.7105718718344,6.1,41625,62404,18.9,88,58.4452296819788,3.41,2.77,89.1126025354213,10.8873974645787,0
6037197500,2010,3915,2017,1898,51.5197956577267,22.8,70.8,6.4,53.5212864690118,10.1,43036,54732,13.3,82,70.3596287703016,2.91,2.75,94.7032546266752,5.29674537332482,0
6037197600,2010,2152,1054,1098,48.9776951672862,24.9,69,6,65.9065311424662,14.8,44795,62469,16.3,85.4,67.8998911860718,2.27,2.86,80.3790412486065,19.6209587513935,0
6037197700,2010,5488,2566,2922,46.7565597667638,20.9,69.5,9.6,59.3334104518525,4.6,30375,41545,30.4,88.4,74.5517928286853,3.65,2.88,67.4498286833089,32.5501713166911,0
6037199000,2010,4735,2248,2487,47.4762407602957,37.6,58.5,3.8,69.2088504910187,7.4,25149,38944,38.6,91.6,70.1837985023826,3.23,3.61,55.7668711656442,44.2331288343558,0
6037199110,2010,2953,1516,1437,51.3376227565188,34.9,60.7,4.4,60.3124076498625,7.2,34341,53052,18.4,91.1,48.2926829268293,4.71,3.29,81.2585499316005,18.7414500683995,0
6037187102,2010,3041,1483,1558,48.7668530088787,25.9,63.6,10.6,62.0939022442491,8.2,45781,62957,9.8,83.6,54.2276422764228,2.37,3.28,88.507718696398,11.4922813036021,0
6037187200,2010,3368,1813,1555,53.8301662707838,35.4,60.3,4.2,61.123942823613,6.4,45455,51337,19.9,92.2,62.1131270010672,4.66,3.53,87.9690949227373,12.0309050772627,0
6037187300,2010,3653,1779,1874,48.6996988776348,15.2,80.8,4.1,59.121524227862,7.8,74135,90805,6.3,95.9,55.9950556242274,2.25,2.43,79.5010114632502,20.4989885367498,0
6037236400,2010,4634,1913,2721,41.2818299525248,28.8,60.7,10.5,16.3903008835447,8.4,52188,71263,7.7,96.3,51.3306269733875,2.34,2.02,90.8788598574822,9.12114014251781,0
6037237500,2010,2436,1277,1159,52.4220032840722,32.9,63.4,3.8,71.7504738716731,11.4,38207,42744,15.3,91.7,76.8961493582264,3.99,2.93,80.8390022675737,19.1609977324263,0
6037213201,2010,3601,1809,1792,50.2360455429047,27.5,67.9,4.8,72.3635578718954,11.6,30477,36915,30.8,93.5,87.9358437935844,1.61,2.75,73.3379026730637,26.6620973269363,0
6037213202,2010,3523,1682,1841,47.7434005109282,30.5,62,7.5,70.0574763995637,6.1,26305,31914,34.4,94.7,83.3956619296933,3.4,2.7,77.1875,22.8125,0
6037128302,2010,4386,2305,2081,52.5535795713634,31.7,65.8,2.4,65.2753787545623,6.9,30550,36659,24.3,99,89.204152249135,2.13,3.05,79.4392523364486,20.5607476635514,0
6037134306,2010,3430,1809,1621,52.7405247813411,23.4,72,4.6,69.7340393883501,3.6,61315,74108,19.8,90.7,45.6195737963694,2.79,3.03,43.5800604229607,56.4199395770393,1
6037119320,2010,3860,2195,1665,56.8652849740933,37.8,58.8,3.2,68.401366479637,8.9,43397,52050,23.3,90.6,62.2798887859129,3.47,4.17,37.8947368421053,62.1052631578947,1
6037294520,2010,3596,1823,1773,50.6952169076752,34.1,58.3,7.9,51.4128601672109,6.8,48884,49209,24.8,97.3,61.9644723092999,3.74,3.93,91.5011037527594,8.49889624724062,0
6037213310,2010,3601,1817,1784,50.4582060538739,33.7,63.2,3.1,64.3554302890809,8.9,29156,35583,28,90,77.3710482529118,2.91,3.4,75.8979206049149,24.1020793950851,0
6037213320,2010,2619,1435,1184,54.7919053073692,16.3,74.5,9.3,70.0095536465757,6.4,26080,34288,27.3,94.3,87.4418604651163,3.05,2.55,84.8545636910732,15.1454363089268,0
6037213401,2010,5583,3005,2578,53.824108902024,25.9,69.9,4.5,66.5285012724941,5.9,35856,41224,21.1,100,97.3928157589803,2.78,3.15,71.1084905660377,28.8915094339623,0
6037214700,2010,2645,1347,1298,50.9262759924386,15.7,73.9,10.4,28.9575294542258,8.9,78039,120443,2.3,95.1,54.8126377663483,2.51,1.6,91.7319408181027,8.2680591818973,0
6037214800,2010,2621,1263,1358,48.1877146127432,11.3,69,19.8,19.012405451755,5.1,91096,108633,3.5,89.7,64.2340565417489,2.74,1.42,84.6265409717186,15.3734590282814,0
6037216100,2010,2318,1290,1028,55.6514236410699,16.7,68.9,14.2,64.3931910002449,6.3,80564,117736,4.4,94.2,54.5374449339207,2.42,1.99,95.2917093142272,4.70829068577277,0
6037216200,2010,5006,2655,2351,53.0363563723532,14.8,77.6,7.7,74.6927498428175,8,61959,79814,1.1,95.1,68.8627450980392,2.45,1.92,70.7759245830312,29.2240754169688,0
